id,puzzle,solution,clues,difficulty
814760,..2...83.1.....5.....9.24.....26...99.1.346...2...7....8.4....1.....1..55...7....,492615837168743592735982416354268179971534628826197354283459761647321985519876243,25,0.0
102511,.....62.8.6...9.....8.3...6..358..1....4..5..4.......23...128..54......99....5...,734156298265879431198234756623587914819423567457691382376912845542368179981745623,25,0.0
2191963,..5......637.4.8.....1..26..6...........75...7....9..2..356....4.......7..8.1...9,125836974637942815894157263569321748382475196741689352973568421416293587258714639,23,0.0
208465,.....7.3....5...86753..9......6....4.89....2.64..3..9..1.........72..81.9........,826417935491523786753869241172698354389154627645732198218975463537246819964381572,24,0.0
109023,...9..3........574.6.42......6.9.........82...5...17.8..2......97..36..13.5......,487915326129683574563427819836792145791548263254361798612854937978236451345179682,24,0.0
2721398,..64..7.......28.5.1..9....3...6859...5..7...........15........1....3.6.248......,856431729439672815712895346371268594925147638684359271563924187197583462248716953,23,0.0
324090,...9..3...7..2..4.......2....68....97...1.4..9...37.86..3....2.8...4......9..67.4,542968317671523948398471265236854179785619432914237586463795821857142693129386754,25,0.0
2014620,...268.....53......3....1..9..8.......1.5..4..67..2..93.6..75.2.....1..4..9......,194268375785319426632745198953874261821956743467132859316497582578621934249583617,24,0.0
511938,1..8..3.63..7.9.........51...267.......4.58...4.........8..47.3.5..8...4...92....,174852396365719248829346517582671439691435872743298651918564723257183964436927185,25,0.0
2146227,...671...........8.519.4...72..3...4...1.2......56....8.6...5.7.12......97.....6.,438671952697325148251984736725839614369142875184567329846213597512796483973458261,25,0.0
2240339,...........5..317.....1.58..3.48....1...2.8....93...1.28.9.6.......3.2..5.......4,718592643945863172362714589637481925154629837829357416283946751476135298591278364,24,0.0
1909105,7....581..3.......4....7.5.......9.2..2....6....2..1.461...4..3..81.......395....,729345816536891427481627359364518972192473568857269134615784293978132645243956781,24,0.0
2063071,..7..8.2..9.24..3......9..16.....7..51.....96.8.......3..89.4.......7..2.246.3...,437168529891245637265379841649521783513784296782936154376892415958417362124653978,26,0.0
1505898,2....3...7.....5....5..49...6..4.8..1..6........8.1.....17.24.99......5..53...7.6,219573684746289513835164972562347891198625347374891265681752439927436158453918726,25,0.0
