id,puzzle,solution,clues,difficulty
213489,....634..5..217.3..1.4.9...1..9.......2...7..9....4..3756..1..4.......7..21...5..,897563412564217938213489657138976245642135789975824163756391824489652371321748596,27,6.1
1939339,..93.....5..........4.5.6.2.2.5....3.6...9.7.....37.2.81.7...........9....3.4...6,289364751536172894174958632927581463361429578458637129812796345645213987793845216,23,6.1
2808295,....586.3......2..54.2..79.9....2.........8..25..4....76.5.49...9.1.6..7.....73..,129758643876493215543261798938612574614375829257849136761534982392186457485927361,27,6.1
2638703,.5......48.19.7......3...8.........2.....4176.6.....5.92...5.6.6..7....8.1..9....,753268914841957623296341785175689342389524176462173859927835461634712598518496237,24,6.1
873711,..38...45.8.4.........9....6......3..583.........5.6.1....3....9...7..2.71.58...3,193826745587413269462795318671948532258361974349257681824639157935174826716582493,24,6.1
2821519,6.......8..9....3.5....824....5.4.2.8.3.6..1...........2..5...9.1.429......6.....,632145798489276531571398246197584623853762914264913857326851479718429365945637182,23,6.1
2106947,.8......11..........5..43..7..2...3...3..52...4..6...8..9..3...3...418......7.5..,284736951136529784975184362761298435893415276542367198429853617357641829618972543,23,6.1
1756564,...6..........71.3.4....59.....7...5.3...6.42...4.5...48....2..3...9..7..91...43.,173659824859247163642183597264378915538916742917425386486731259325894671791562438,25,6.1
2663551,.8....97.15.........34.5..8...8...4.....3..52..2...6......46...3.927....5....3...,284361975156987234973425168695812743417639852832754691721546389349278516568193427,24,6.1
423041,.....69.8..3....1.....9..3...293..8.....524..8.......5647.........275...1........,571326948963548217284791536452937681716852493839614725647189352398275164125463879,23,6.1
626521,1.....2....4.......7.62...9..9.........8.3.6.3...52....5..1.7...8...79.....94..3.,136589274294731685875624319519476823742893561368152497953218746481367952627945138,23,6.1
1036775,.49.32.7...5......3.2...9...7..........8.6.....1..9.53...1.5.......2..4....7..598,849632175765491832312587964576314289293856417481279653938145726657928341124763598,24,6.1
365792,..14..8..9......4..5.7...6.8..3.6...4...5.7..12....35.........2.....8.7..9...21..,261495837987263541354781269875326914436159728129874356618537492542918673793642185,24,6.1
817471,..8..52....49......9.....81.42..19.7..157...3.7........3..59......2........34.7.2,368715294124968375795423681642831957981572463573694128237159846416287539859346712,26,6.1
552506,.9.582......1......47....8.......8.4...7..16......5.9.68.9...7...5..7.....9.61...,193582746568174923247396581752619834934728165816435297681953472325847619479261358,24,6.1
1038129,...3..2.53.9..8...65...2.4..3.7.5...472.6................82.9.7..1.......9.....2.,814376295329458176657912348938745612472163589165289734543821967281697453796534821,24,6.1
1339597,...8..6...7.92...5.9..3....61........23..4..7....5.......26...9..2.8.37...5..32..,251847693378926415496135728617398542523614987849752136734261859162589374985473261,25,6.1
1600797,.4...7.5..15.....4..6....7..3...5...5.9.6......729...3...6.2.818......6.....8...2,948127356715936824326854179234715698589463217167298543453672981892341765671589432,25,6.1
2727797,..86.4..5.....9.26.7...5.9.6...4.....3.7.69.4.5..............1.3.5..8....8....2..,918624375543179826276385491697843152132756984854291763769432518325918647481567239,24,6.1
657856,4...9..52.....18....5.....3.719.........4.6....3.....7.......7.9..2...4..3.1....8,416398752397521864285476913671982435529743681843615297162854379958237146734169528,22,6.1
356914,.1.....7......964...8.3....73....2......9......1...3.48.3..5..665.8..1.......67..,915462873327589641468731952736154298284693517591278364873915426652847139149326785,24,6.1
482356,...6.......4..2..18..47...3.....3.9.......2..4.9.....8..38..7..9.5.3.8.......16..,392615487574382961816479523287543196631798245459126378123864759965237814748951632,23,6.1
2580043,.5.....232...4.9....62.7.5......1..69........68.....7...7..2...3.....64...1.53...,458619723273845961196237854732591486914786532685324179547962318329178645861453297,24,6.1
2705135,42.3.......3.98...9..4.......48..5...8...9.3.....2..7......62..7.9.154..........5,428361957173598642956472381614837529287659134395124876541786293739215468862943715,24,6.1
1873098,..8..6....4.15...9......73...96..8..3...1..7..8...4..38.....6..1..2.........65.4.,938726514647153289512498736479632851356819472281574963895341627164287395723965148,24,6.1
589644,.7..3......5.82...8...9.1...4.12.59.........25......3...87..6.....2....5957......,274631958195482367836597124743128596619375482582964731428753619361249875957816243,24,6.1
1970529,4.529.....1......8..75.......9...4.........8.5..8.3.1......5...23...1..4......6..,485296137612734598397518246829157463163429785574863912741685329236971854958342671,21,6.1
965172,3......2.......4...41...3.5....7..4...93.....1....27.8....4...2...5...1..5879....,385467921692135487741289365526978143879314256134652798913846572467523819258791634,23,6.1
1305468,.5..3...8...27.13....1.4.....9....5........2.4.....7..6.4...8....7.6...3.9.842...,152639478846275139973184265769428351538716924421593786614357892287961543395842617,24,6.1
2308158,.....596..9.61....4....2....51..8...8...4...6.2....3....7.6....5..8...19.....1..7,172385964398614725465792831651938472839247156724156398217469583546873219983521647,24,6.1
1520326,.31....6......5.......6.8.921..5.........8.47.9...1...........4.2....69.8.6..35..,431829765689375421572164839214756983365298147798431256957682314123547698846913572,23,6.1
947705,9.4.7.2.....5..7.9..31.....8...1.39......7......8..........6.8..7...5..26..9..4.3,954673218216548739783192654867214395491357826532869147349726581178435962625981473,24,6.1
1982097,.....5....16........52...6...3.48...........82.85.17.4......2.97.2........1.3..5.,429165873816973542375284961193748625547326198268591734634857219752419386981632457,23,6.1
1739550,....3.6.....5..8.1....74...13..9....69......37....8.6.26..........6...4.45..1.3..,529831674374562891816974532132796458698145723745328169263487915981653247457219386,24,6.1
1100476,2..81...5..7..63......3...8.54...7..3..4....6..6.....29....8.2......9..7.1..5...3,263814975587926314491735268854261739329487156176593842945378621632149587718652493,25,6.1
804660,...71......86..9.1.5.2.....43...6.1..2...3.9.8.....2..5......8...2.5......93..5.7,964715823278634951153298476435926718721843695896571234547169382382457169619382547,25,6.1
135826,.17....2.3.2.14..7....8........3..1....9.......54..3..2..3.56.4.........463......,517693428382514967649782135974238516136957842825461379291375684758146293463829751,23,6.1
2057601,.....4...6.....7....57.6.8.8.2...93.4......65..3..1.....1...3.9....1....53..9...8,378124596624859713195736482862547931417983265953261847241678359789315624536492178,24,6.1
1420050,..4...6..27..9...5......3.18...2..9.14.75........8.1.........43......2...28.1..5.,534178629271693485689245371867321594143759862952486137715862943496537218328914756,24,6.1
2988097,.7..1....6...9....1....3.7...51....339..65.4.....4..5..5.....3.2.....7.5..12..86.,572416398643798521189523476425179683397865142816342957754681239268934715931257864,26,6.1
569178,2.8..9..46.........94..53...2....1.....9.......7564..8...4.8..3.8.2.3.5...3......,238719564651342879794685321926837145845921637317564298562498713189273456473156982,25,6.1
2624815,.....9.....78..3....9..354..9...4.5..2...1.....632.....84..27...7..1..89.........,538149627247856391619273548891764253423591876756328914184932765372615489965487132,24,6.1
1615398,.3.1.......8..26..2.18....4.....958.3.....1.6.6.35.........4.....69...7.5.....3.2,634175298978432651251896734417269583395748126862351947723514869186923475549687312,25,6.1
2410685,.....57....3...152....4..6..64.17.....2...........6.415...9...8..9.3....2..8....5,698125734473968152125743869864217593312459687957386241541692378789531426236874915,24,6.1
2265842,5.8..9....2.65...4......37...7.6.....1.7....8.4......2....2.......84..16...5..48.,538479621721653894496182375387265149219734568645918732864321957953847216172596483,24,6.1
