id,puzzle,solution,clues,difficulty
2102185,......4.64....8.2..5.23...........8.2.79...3.1....6..2..1.8...7....6....3....791.,832791456419658723756234891645372189287915634193846572521489367978163245364527918,24,3.1
1226863,6..........31.7.....8..4.1214.52..7.......9...76.........78.5...8..4.1.9..4..6...,615892437423167895798354612149528376532671948876439251961783524387245169254916783,25,3.1
712724,.....539.75..2....6....8..4....9.6..8....3....9..7..2..4...........62...51......9,281645397754329186639718254125894673867253941493176528946581732378962415512437869,22,3.1
2866334,8.6..73.9......12...9.......3.5....2..8.74.......2.4.8..41...3........94.6..8....,816257349345869127279341685437518962628974513591623478784195236152736894963482751,24,3.1
1566135,.5.3......31.257..7..98..1.94.5..2...8....15.........9.....3.6...........7215...8,459371682831625794726984315943518276287496153165732849518243967394867521672159438,26,3.1
2304418,2.....8.....6....73.9.1......159...8......3..76......18....17.2.1.84.........2...,276435819184629537359718426431596278928174365765283941843961752512847693697352184,23,3.1
1423046,2.5..7......1....6.9..4.....4.3..8..8...5....7....839..3...2.8.4..57....9.......2,285697413374185926196243758549321867863759241712468395637912584428576139951834672,24,3.1
1664399,5.......7.......92.9.....3....2.9.76.4..75....896.....47..52..3..1....6....1.4...,523896147867413592194527638315289476642375981789641325476952813951738264238164759,25,3.1
1198156,6...17.34.1.32...5.3.....7...5..9....9.24.7...87......1.............68.....43..2.,658917234714328695932654178265879413391245786487163952149582367523796841876431529,25,3.1
1890105,.....6..1.6..87.3.....3.25.3...9.6...4..........3.8.4....7..5...2....4.9.97.1....,953246781162587934784931256318495627645172893279368145436729518821653479597814362,24,3.1
1642106,.2....3..5...3..7...9..1..2..5....144...8..5.3.8.5....9..87.5......1.......9.6..7,126798345584632179739541682295367814467189253318254796942873561673415928851926437,25,3.1
2163605,6..5......1...8.2..84......79..43..5...9...362...51.....1..9.....78.....92.....8.,672514893519368427384297561798643215145982736263751948851439672437826159926175384,25,3.1
2068198,4......8..9.8......126....9..625....35...7.....8.....7....3..92....6..3.1....54..,437529681695871324812643579976254813351987246248316957564138792789462135123795468,24,3.1
61714,1..3..5..........9.37..1....8...3.7........91.594....62..7...8...5.86.....8......,192348567846572139537691248681923475724865391359417826213759684475286913968134752,23,3.1
1846787,..2.6......3.5.6..7....918...5..........9.2..4..2....8.......7..1.8.4..3....3...4,942168735183752649756349182325687491861493257497215368534921876619874523278536914,22,3.1
2434848,....9.6.2..1..3....2.5.7..3.347.9......6....85..4.......7....9.......3....9..8.14,453891672871263549926547183634789251792615438518432967347126895185974326269358714,24,3.1
249864,.....7.3....1..9...6...95.8..6.51........4163.......7.3847....6.2...6..4.....8...,941587632853162947267349518736851429598274163412693875384715296125936784679428351,25,3.1
1087582,6.2.1.3...9...3.4...8..6........4..74.3.2.6...7........3..6....2.9...8...619..4..,642519378597283146318476952126894537483725619975631284834162795259347861761958423,25,3.1
381006,...8.4....9.........1..5..6...2..8.43......9.8...5.7....9..83..5....3.1..2.1...7.,265814937798362145431795286976231854352487691814956723149578362587623419623149578,23,3.1
315753,78...3.......82.6....59......2...7.4.6.7..8.5...23..1............491.2...91..6...,785463192439182567126597348812659734963741825547238619658324971374915286291876453,25,3.1
347075,....8...3.......4..4.7....23.....2..5..692.....4....91.....6..92..5....89.6..37.4,695284173172935846843761952369417285581692437724358691438176529217549368956823714,25,3.1
